Año;Mes;Dia; Hora
2020;11;01;22-08-47
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
-3;-1;-2;1;8;-2;-7;-1;
0;1;-2;0;2;1;6;-3;
0;-1;-1;-1;-9;0;2;-1;
-1;-2;0;-3;-7;-4;-4;-1;
1;-2;1;-1;-1;2;4;0;
-2;-2;-2;-5;-5;7;7;-1;
-1;-1;-1;-4;-12;7;10;-2;
0;2;1;7;30;0;-9;1;
-1;1;-2;-6;-21;0;2;-1;
0;-2;-1;-2;4;-2;4;0;
0;0;-1;-1;-1;-3;-4;0;
-1;-1;-3;-4;-12;-4;1;-3;
-1;-2;-1;-3;-3;-4;-6;-1;
-2;0;-1;-2;-6;2;-2;-1;
0;-1;-1;2;6;-3;-3;0;
-1;-1;0;5;19;6;8;2;
-1;0;-1;2;5;-3;-4;-3;
0;-2;2;-1;-10;-5;-2;-1;
0;-3;-2;-8;-14;3;-1;1;
-1;-2;-2;-4;-5;1;-6;-3;
-2;-1;0;0;1;-1;2;1;
-1;0;-1;1;18;2;-3;1;
-2;-2;-1;-3;-4;-3;0;-2;
-1;-2;-2;-6;-20;-5;-1;-1;
0;-2;-1;1;9;2;-1;-1;
-3;-2;-1;-2;-10;-5;-1;-3;
0;-2;0;3;23;4;6;-1;
-1;-1;0;-2;-15;-10;-6;-1;
0;0;-1;-2;-7;0;0;-1;
2;1;-1;-1;-1;0;-2;0;
1;0;-1;5;16;1;-4;-1;
-1;-2;-3;-1;-3;7;16;0;
0;-1;-2;-2;-2;0;-5;-1;
-2;-2;-3;-6;-21;-3;-9;-1;
0;0;-1;1;14;0;-2;1;
-4;-2;-3;-4;-8;-7;-7;-2;
0;-2;-2;-2;-3;4;9;-1;
-1;-1;-3;-3;-4;-7;-6;-2;
0;0;1;-1;-3;-1;1;0;
-2;-3;-2;-2;-3;0;4;0;
-1;-2;0;1;-7;1;-5;-1;
-2;-1;0;4;11;3;5;-1;
-1;0;0;-2;-9;-5;-3;-2;
0;0;-1;0;3;-4;-20;-3;
0;-1;0;-3;1;2;11;0;
-1;-2;-2;-2;-9;-4;3;0;
-2;0;0;0;11;2;-6;-1;
-2;-3;-1;-4;-6;2;5;1;
-2;-1;-2;1;1;0;-4;-6;
-2;0;-1;-3;-7;-6;-3;1;
0;-1;0;-4;-11;0;-2;0;
0;-1;2;2;-3;0;6;0;
-1;0;0;6;34;-4;-6;1;
-1;0;-1;-1;-3;8;10;-1;
0;-2;-3;0;-8;-6;-3;0;
-1;-1;-1;-3;-2;6;2;1;
-1;-3;-2;-2;-12;-5;-4;0;
1;-1;0;-7;-8;-9;-7;-4;
-1;0;1;10;42;4;2;-4;
-2;-1;0;-1;-1;3;3;-4;
-3;-1;-2;-3;-6;-1;-6;1;
-1;-1;-2;1;-4;-2;-4;1;
-2;-1;-2;-3;-18;-1;-6;-2;
-1;1;-1;0;3;-8;-3;-2;
2;-1;2;2;5;-2;2;-3;
0;-1;0;0;3;4;-3;0;
-3;-3;-2;-1;-12;-3;0;-1;
-1;-1;0;0;13;-3;1;0;
0;-1;-2;-2;2;0;1;1;
0;-3;-2;-1;-6;6;-3;0;
-1;-3;-1;-5;-7;2;2;-2;
-3;-2;-2;-4;-2;-8;-1;0;
1;-1;-1;-4;-13;-2;-7;0;
0;-2;-1;-2;-10;2;5;-1;
-1;-1;-1;-1;-7;3;0;-1;
0;-1;1;5;16;-8;-5;-3;
-2;-3;-3;-1;12;-1;-2;2;
-2;-2;-1;-3;-8;-7;4;-2;
-1;1;-1;0;-6;-5;-7;-2;
0;-1;0;-1;4;6;4;1;
0;-2;-2;-6;-15;-7;0;-2;
-1;-1;1;5;12;3;-6;-2;
-1;-1;-1;-4;-8;4;-1;3;
-2;-1;-1;1;-8;-4;0;-3;
1;1;-1;3;22;-1;-4;-2;
-2;-1;-1;-1;-6;-6;2;-1;
-1;-1;-1;-2;0;9;2;0;
-1;1;-1;0;-5;-4;-5;-2;
0;-1;0;2;0;1;5;2;
0;-1;-3;-1;2;-3;-4;-2;
-1;0;-1;-4;-8;2;2;0;
-2;-1;0;-3;0;-1;4;1;
0;2;-1;-4;-12;-11;-19;-2;
-1;-1;0;0;6;7;15;3;
-1;0;-1;1;10;8;7;-1;
-1;-1;0;-3;4;-10;-8;-4;
-1;-2;-1;-2;-11;1;-3;1;
0;-1;-1;-4;-8;-5;-8;-3;
-2;-1;-3;1;-3;-5;-3;-3;
1;-1;-1;0;-1;-2;2;-1;
-1;-2;-2;0;19;3;-4;-1;
-1;-2;1;3;26;-5;-8;1;
-1;0;-1;-1;1;8;14;2;
-3;-3;-5;-6;-14;-4;1;-2;
0;-1;0;1;-8;-5;-3;1;
0;0;0;-5;-21;-6;-6;-1;
-2;-3;-2;-3;-3;1;-3;-2;
1;0;1;4;12;4;5;0;
-1;0;-2;-2;-2;-1;-1;-1;
0;-2;-5;-8;-14;-1;-5;-1;
-1;-1;1;1;-4;2;0;0;
-1;-3;-3;-2;-1;-5;-7;-2;
0;-2;-2;1;-10;-1;0;-1;
-1;-3;-2;-3;10;-9;-5;-2;
-2;-1;-1;-1;-5;-1;0;-2;
-1;-1;1;-1;0;3;-1;0;
0;-1;-2;-4;-8;3;8;3;
-1;-1;0;5;1;0;6;-3;
-2;-3;-2;-7;-6;0;3;0;
-1;0;2;1;-3;-8;-9;-1;
-2;-1;-3;-4;-1;3;5;-2;
-1;0;2;-2;-5;-5;-6;-2;
-2;-1;0;4;12;3;-3;-5;
-2;-2;-3;-1;-6;3;11;0;
0;-1;1;0;1;-6;-12;1;
0;-1;-3;1;4;1;3;1;
-1;-1;-2;3;3;-4;-4;-3;
0;2;2;2;-1;2;-2;0;
-2;-1;-1;-3;-12;-4;-5;-3;
-4;-2;0;0;-14;-7;-5;-2;
-1;0;0;1;17;5;5;-4;
-1;-1;0;-2;-9;-9;-12;-2;
0;1;-1;-4;1;0;7;1;
0;0;-1;-4;-6;-1;-4;-1;
1;-1;-1;-2;-12;0;-4;-2;
-1;0;-1;5;22;-6;0;-2;
-2;-2;-2;1;10;14;-1;-1;
0;1;-1;-1;-7;0;1;0;
-3;-2;-3;-7;-10;-13;-5;-2;
1;-2;-1;3;1;10;3;-1;
-2;-2;1;0;-20;-5;-1;0;
-1;-1;-1;3;23;5;0;0;
-1;-3;-2;-3;-4;2;-1;-2;
-1;0;2;3;-4;-7;1;-2;
-1;0;0;-1;1;0;-2;-2;
-1;0;1;-2;-4;3;-1;-2;
-3;-2;-1;-3;-6;-2;-7;-2;
-3;-4;-3;-2;-5;0;6;-3;
-1;0;0;3;16;0;0;0;
0;-2;-1;-2;-12;0;6;3;
-1;-1;-1;2;16;0;-5;-1;
-2;-2;-2;-8;-14;-1;-1;-2;
1;2;0;7;12;-5;-2;0;
-3;-1;-4;-2;16;1;-2;-1;
0;-1;-1;-1;-4;4;13;2;
-1;-1;-1;-2;-10;-4;-6;-3;
1;-3;-2;-3;3;-2;-3;-1;
-1;-2;-2;-2;-4;-3;-2;-1;
1;2;0;2;1;-3;3;-1;
-4;-3;-2;-2;9;7;3;-1;
0;-1;-1;1;-7;-3;-2;-1;
-1;-2;-1;-3;-5;-3;-5;-1;
0;-3;-4;-3;-2;-2;1;1;
2;1;1;1;2;-2;-2;1;
-1;-1;-3;-4;-11;-5;-1;-1;
-2;0;0;1;0;8;2;-1;
-1;0;-1;3;8;-9;-8;-2;
0;-1;-2;-3;-14;3;-3;-2;
-1;1;-1;3;4;-1;-4;-2;
-1;0;1;4;22;1;6;2;
-1;0;-2;-2;-10;-2;-1;-3;
-1;-2;-2;-3;-6;-7;-5;-1;
1;-2;2;2;10;2;-4;0;
-2;-1;-1;6;12;-1;-10;-2;
-2;-1;-1;-2;7;1;10;0;
-2;-3;-1;-1;-8;3;0;1;
-1;-1;-2;-4;-10;-7;-2;-3;
0;-2;-1;-2;3;8;-1;0;
-1;-1;1;1;-9;-11;-3;-4;
0;-2;-1;-3;0;-1;-6;-2;
0;-1;-1;0;-7;-3;2;0;
-2;-1;-3;-6;-11;-3;-3;-3;
-1;0;0;-2;5;4;-3;0;
-2;-2;-2;-2;-8;-10;-6;-2;
0;-1;-1;1;2;6;4;0;
-1;0;-3;-2;2;-7;-4;-2;
-2;-1;-2;-2;3;-2;-1;-1;
-1;-1;0;0;-4;2;4;-1;
0;-2;0;-1;-2;-2;-6;-1;
-1;0;0;0;2;6;8;1;
-3;-1;-2;1;8;-2;-7;-1;
0;1;-2;0;2;1;6;-3;
0;-1;-1;-1;-9;0;2;-1;
-1;-2;0;-3;-7;-4;-4;-1;
1;-2;1;-1;-1;2;4;0;
-2;-2;-2;-5;-5;7;7;-1;
-1;-1;-1;-4;-12;7;10;-2;
0;2;1;7;30;0;-9;1;
-1;1;-2;-6;-21;0;2;-1;
0;-2;-1;-2;4;-2;4;0;
0;0;-1;-1;-1;-3;-4;0;
-1;-1;-3;-4;-12;-4;1;-3;
-1;-2;-1;-3;-3;-4;-6;-1;
-2;0;-1;-2;-6;2;-2;-1;
0;-1;-1;2;6;-3;-3;0;
-1;-1;0;5;19;6;8;2;
-1;0;-1;2;5;-3;-4;-3;
0;-2;2;-1;-10;-5;-2;-1;
0;-3;-2;-8;-14;3;-1;1;
-1;-2;-2;-4;-5;1;-6;-3;
-2;-1;0;0;1;-1;2;1;
-1;0;-1;1;18;2;-3;1;
-2;-2;-1;-3;-4;-3;0;-2;
-1;-2;-2;-6;-20;-5;-1;-1;
0;-2;-1;1;9;2;-1;-1;
-3;-2;-1;-2;-10;-5;-1;-3;
0;-2;0;3;23;4;6;-1;
-1;-1;0;-2;-15;-10;-6;-1;
0;0;-1;-2;-7;0;0;-1;
2;1;-1;-1;-1;0;-2;0;
1;0;-1;5;16;1;-4;-1;
-1;-2;-3;-1;-3;7;16;0;
0;-1;-2;-2;-2;0;-5;-1;
-2;-2;-3;-6;-21;-3;-9;-1;
0;0;-1;1;14;0;-2;1;
-4;-2;-3;-4;-8;-7;-7;-2;
0;-2;-2;-2;-3;4;9;-1;
-1;-1;-3;-3;-4;-7;-6;-2;
0;0;1;-1;-3;-1;1;0;
-2;-3;-2;-2;-3;0;4;0;
-1;-2;0;1;-7;1;-5;-1;
-2;-1;0;4;11;3;5;-1;
-1;0;0;-2;-9;-5;-3;-2;
0;0;-1;0;3;-4;-20;-3;
0;-1;0;-3;1;2;11;0;
-1;-2;-2;-2;-9;-4;3;0;
-2;0;0;0;11;2;-6;-1;
-2;-3;-1;-4;-6;2;5;1;
-2;-1;-2;1;1;0;-4;-6;
-2;0;-1;-3;-7;-6;-3;1;
0;-1;0;-4;-11;0;-2;0;
0;-1;2;2;-3;0;6;0;
-1;0;0;6;34;-4;-6;1;
-1;0;-1;-1;-3;8;10;-1;
0;-2;-3;0;-8;-6;-3;0;
-1;-1;-1;-3;-2;6;2;1;
-1;-3;-2;-2;-12;-5;-4;0;
1;-1;0;-7;-8;-9;-7;-4;
-1;0;1;10;42;4;2;-4;
-2;-1;0;-1;-1;3;3;-4;
-3;-1;-2;-3;-6;-1;-6;1;
-1;-1;-2;1;-4;-2;-4;1;
-2;-1;-2;-3;-18;-1;-6;-2;
-1;1;-1;0;3;-8;-3;-2;
2;-1;2;2;5;-2;2;-3;
0;-1;0;0;3;4;-3;0;
-3;-3;-2;-1;-12;-3;0;-1;
-1;-1;0;0;13;-3;1;0;
0;-1;-2;-2;2;0;1;1;
1;-1;-1;-1;5;3;7;2;
-1;-2;-1;0;-1;-12;-10;-4;
-1;-2;-4;-4;-17;7;10;-2;
-2;0;1;7;19;-2;-2;-1;
-2;-3;-3;-7;-10;-1;-4;-2;
0;-2;-3;-3;-13;4;-2;-1;
-1;0;0;2;12;-5;-6;4;
-2;-1;-3;-2;-7;2;8;0;
0;-1;-4;-1;-4;-3;-2;0;
1;0;-1;-4;-22;1;3;0;
0;-2;-1;-2;3;8;-1;0;
-1;-1;1;1;-9;-11;-3;-4;
0;-2;-1;-3;0;-1;-6;-2;
0;-1;-1;0;-7;-3;2;0;
-2;-1;-3;-6;-11;-3;-3;-3;
-1;0;0;-2;5;4;-3;0;
-2;-2;-2;-2;-8;-10;-6;-2;
0;-1;-1;1;2;6;4;0;
-1;0;-3;-2;2;-7;-4;-2;
-2;-1;-2;-2;3;-2;-1;-1;
-1;-1;0;0;-4;2;4;-1;
0;-2;0;-1;-2;-2;-6;-1;
-1;0;0;0;2;6;8;1;
-3;-1;-2;1;8;-2;-7;-1;
0;1;-2;0;2;1;6;-3;
0;-1;-1;-1;-9;0;2;-1;
-1;-2;0;-3;-7;-4;-4;-1;
1;-2;1;-1;-1;2;4;0;
-2;-2;-2;-5;-5;7;7;-1;
-1;-1;-1;-4;-12;7;10;-2;
0;2;1;7;30;0;-9;1;
-1;1;-2;-6;-21;0;2;-1;
0;-2;-1;-2;4;-2;4;0;
0;0;-1;-1;-1;-3;-4;0;
-1;-1;-3;-4;-12;-4;1;-3;
-1;-2;-1;-3;-3;-4;-6;-1;
-2;0;-1;-2;-6;2;-2;-1;
0;-1;-1;2;6;-3;-3;0;
-1;-1;0;5;19;6;8;2;
-1;0;-1;2;5;-3;-4;-3;
0;-2;2;-1;-10;-5;-2;-1;
0;-3;-2;-8;-14;3;-1;1;
-1;-2;-2;-4;-5;1;-6;-3;
-2;-1;0;0;1;-1;2;1;
-1;0;-1;1;18;2;-3;1;
-2;-2;-1;-3;-4;-3;0;-2;
-1;-2;-2;-6;-20;-5;-1;-1;
0;-2;-1;1;9;2;-1;-1;
-3;-2;-1;-2;-10;-5;-1;-3;
0;-2;0;3;23;4;6;-1;
-1;-1;0;-2;-15;-10;-6;-1;
0;0;-1;-2;-7;0;0;-1;
2;1;-1;-1;-1;0;-2;0;
1;0;-1;5;16;1;-4;-1;
-1;-2;-3;-1;-3;7;16;0;
0;-1;-2;-2;-2;0;-5;-1;
-2;-2;-3;-6;-21;-3;-9;-1;
0;0;-1;1;14;0;-2;1;
-4;-2;-3;-4;-8;-7;-7;-2;
0;-2;-2;-2;-3;4;9;-1;
-1;-1;-3;-3;-4;-7;-6;-2;
0;0;1;-1;-3;-1;1;0;
-2;-3;-2;-2;-3;0;4;0;
-1;-2;0;1;-7;1;-5;-1;
-2;-1;0;4;11;3;5;-1;
-1;0;0;-2;-9;-5;-3;-2;
0;0;-1;0;3;-4;-20;-3;
0;-1;0;-3;1;2;11;0;
-1;-2;-2;-2;-9;-4;3;0;
-2;0;0;0;11;2;-6;-1;
-2;-3;-1;-4;-6;2;5;1;
-2;-1;-2;1;1;0;-4;-6;
-2;0;-1;-3;-7;-6;-3;1;
0;-1;0;-4;-11;0;-2;0;
0;-1;2;2;-3;0;6;0;
-1;0;0;6;34;-4;-6;1;
-1;0;-1;-1;-3;8;10;-1;
0;-2;-3;0;-8;-6;-3;0;
-1;-1;-1;-3;-2;6;2;1;
-1;-3;-2;-2;-12;-5;-4;0;
1;-1;0;-7;-8;-9;-7;-4;
-1;0;1;10;42;4;2;-4;
-2;-1;0;-1;-1;3;3;-4;
-3;-1;-2;-3;-6;-1;-6;1;
-1;-1;-2;1;-4;-2;-4;1;
-2;-1;-2;-3;-18;-1;-6;-2;
-1;1;-1;0;3;-8;-3;-2;
2;-1;2;2;5;-2;2;-3;
0;-1;0;0;3;4;-3;0;
-3;-3;-2;-1;-12;-3;0;-1;
-1;-1;0;0;13;-3;1;0;
0;-1;-2;-2;2;0;1;1;
1;-1;-1;-1;5;3;7;2;
-1;-2;-1;0;-1;-12;-10;-4;
-1;-2;-4;-4;-17;7;10;-2;
-2;0;1;7;19;-2;-2;-1;
-2;-3;-3;-7;-10;-1;-4;-2;
0;-2;-3;-3;-13;4;-2;-1;
-1;0;0;2;12;-5;-6;4;
-2;-1;-3;-2;-7;2;8;0;
0;-1;-4;-1;-4;-3;-2;0;
1;0;-1;-4;-22;1;3;0;
-1;-1;-2;-6;-20;1;0;-1;
2;2;5;3;16;0;-1;0;
-1;-1;-3;-2;15;-2;-3;-3;
-1;-1;-3;-4;-12;-4;5;-3;
-3;-2;-3;-4;-5;3;3;-2;
-2;0;1;-1;-13;1;3;0;
0;-3;0;-5;-8;-5;-4;-2;
-2;1;-1;0;6;4;-11;-4;
-1;-1;-1;2;6;-2;-5;-3;
-2;-1;-2;-3;-19;-3;5;0;
-1;0;1;5;18;7;6;0;
1;-2;1;2;3;-10;-7;1;
1;-1;0;-7;-18;-4;0;-1;
-2;-3;-3;-1;-2;9;-5;-3;
0;0;1;3;-2;-4;-3;2;
0;-2;0;-2;-8;-3;3;-3;
0;-1;0;2;7;-3;-7;-2;
-1;-2;-2;0;-1;-4;8;4;
0;-1;-2;0;3;-1;-1;0;
0;-1;-1;-5;-9;2;-4;-1;
-2;-3;-2;-4;-11;-3;-3;-2;
-1;-1;0;2;12;5;2;-3;
-1;0;0;2;12;-2;-2;-1;
-2;-2;-5;-3;-17;4;4;1;
0;-3;-1;-2;17;5;-1;-1;
-1;-1;-1;0;12;-10;-8;-1;
-1;-2;-2;2;8;-6;0;-2;
0;0;1;-2;-15;-2;1;0;
-1;-1;-1;-2;1;8;3;-1;
-3;-1;0;-2;-5;-4;-6;-2;
-1;-2;-1;-3;-6;2;0;-1;
-1;-1;0;2;1;-5;-1;0;
-2;0;0;-1;0;-4;-1;-2;
-2;-1;-1;-2;-4;6;-1;2;
0;-1;-3;-5;-24;-3;1;-1;
-3;0;-1;7;27;1;7;-4;
-2;-2;-4;-8;-12;-3;-6;-2;
0;-1;-2;0;3;-6;-7;-4;
-1;-1;-2;-5;-9;6;8;1;
0;2;1;4;-2;-4;-5;-1;
-1;-1;-3;-7;-10;-4;-4;-4;
0;-2;-2;0;-9;-5;5;2;
-1;-1;0;1;11;-2;-6;0;
1;0;-1;-3;-10;-9;-5;-3;
-1;0;-1;1;2;5;-2;-3;
0;-1;-2;-5;-8;1;1;0;
1;1;0;-1;3;-2;-4;0;
-2;-3;-4;1;2;3;12;4;
-2;-3;0;2;7;-2;-5;-1;
-1;-2;-2;-4;-4;-1;1;-1;
-1;-2;0;-1;3;3;0;0;
-1;0;0;0;-14;-1;-1;-3;
1;0;-2;-2;3;2;2;1;
1;0;3;1;-5;-1;0;-2;
0;-1;-3;-2;8;2;-1;-2;
-1;-1;-2;0;1;-2;4;2;
-1;-1;-1;-1;-7;-1;-5;-2;
-2;1;-2;2;2;-3;-2;0;
-1;-3;-2;-2;-6;-5;-7;-2;
0;-2;0;-1;6;-2;-1;0;
-2;1;2;2;1;0;5;-4;
-1;-2;-3;-1;3;-2;-1;-7;
-2;0;0;5;5;4;1;2;
-1;-1;-3;-5;0;-2;-2;2;
1;0;-1;-1;-5;-3;5;0;
-2;-2;-1;-1;4;2;-5;-3;
0;-1;2;7;30;4;-2;-1;
-1;1;0;-1;-5;-1;-2;-1;
0;-2;-3;-5;-1;-1;-6;1;
-2;-2;-1;-3;-4;5;7;0;
-2;0;0;1;2;7;4;0;
-1;-2;0;-3;-5;-12;-4;-1;
0;-1;1;2;4;2;-4;-2;
1;-2;2;-1;-3;-5;-5;-1;
-1;-1;-3;-7;-2;-2;7;-1;
-2;-3;-1;1;-1;8;-2;-1;
-2;-1;-2;-5;-15;-5;-4;-1;
-1;2;-1;1;17;0;-1;0;
0;1;-3;-4;-9;-7;-2;-1;
-1;0;0;1;-8;-8;-7;-3;
-4;-1;-3;-1;0;-2;3;-2;
-2;-5;-5;-4;-3;2;1;-1;
0;1;3;3;-2;-2;-7;-4;
-1;0;-2;-4;-13;-3;3;-2;
-1;-3;-1;0;0;7;6;1;
-1;0;-2;3;4;-8;-12;-2;
1;-1;0;-4;-17;-2;2;2;
1;0;-1;-1;-10;-2;1;2;
-1;0;-1;-1;-9;-1;3;-1;
-2;-1;0;1;21;3;-3;-3;
0;-1;-1;-5;-13;-5;2;1;
-1;-2;1;-1;-2;8;0;-1;
0;-1;0;1;19;-8;-8;-1;
-2;-3;-3;-3;-4;-2;-7;-2;
1;1;0;1;11;-3;-1;-1;
0;-3;-1;0;0;3;2;-1;
-2;-1;-2;-6;-26;-8;-6;-1;
-1;-1;1;5;33;3;-2;1;
-1;0;-3;-4;-5;-1;4;1;
-2;1;0;2;-1;3;1;-1;
-1;0;-1;-1;9;3;1;0;
-3;-2;-1;-3;-23;-4;-5;0;
1;-1;0;0;5;-9;-3;1;
-1;-1;-3;-4;4;0;0;0;
0;0;3;6;1;1;-3;-6;
0;-1;-1;-3;-3;4;7;4;
-3;-1;-2;-1;-2;5;-2;1;
-1;-3;-1;0;-2;-3;-2;0;
-2;-1;0;4;11;3;5;-1;
-1;0;0;-2;-9;-5;-3;-2;
0;0;-1;0;3;-4;-20;-3;
0;-1;0;-3;1;2;11;0;
-1;-2;-2;-2;-9;-4;3;0;
-2;0;0;0;11;2;-6;-1;
-2;-3;-1;-4;-6;2;5;1;
-2;-1;-2;1;1;0;-4;-6;
-2;0;-1;-3;-7;-6;-3;1;
0;-1;0;-4;-11;0;-2;0;
0;-1;2;2;-3;0;6;0;
-1;0;0;6;34;-4;-6;1;
-1;0;-1;-1;-3;8;10;-1;
0;-2;-3;0;-8;-6;-3;0;
-1;-1;-1;-3;-2;6;2;1;
-1;-3;-2;-2;-12;-5;-4;0;
1;-1;0;-7;-8;-9;-7;-4;
-1;0;1;10;42;4;2;-4;
-2;-1;0;-1;-1;3;3;-4;
-3;-1;-2;-3;-6;-1;-6;1;
-1;-1;-2;1;-4;-2;-4;1;
-2;-1;-2;-3;-18;-1;-6;-2;
-1;1;-1;0;3;-8;-3;-2;
2;-1;2;2;5;-2;2;-3;
0;-1;0;0;3;4;-3;0;
-3;-3;-2;-1;-12;-3;0;-1;
-1;-1;0;0;13;-3;1;0;
0;-1;-2;-2;2;0;1;1;
1;-1;-1;-1;5;3;7;2;
-1;-2;-1;0;-1;-12;-10;-4;
-1;-2;-4;-4;-17;7;10;-2;
