Año;Mes;Dia; Hora
2020;10;12;15-45-17
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
-1;-2;-3;-3;0;-1;0;-1;
2;2;-3;-3;-1;-1;1;0;
-5;-6;0;2;3;2;-1;-2;
2;-1;-3;-1;-3;0;-1;1;
0;1;6;0;0;-1;0;0;
-3;-1;-3;-1;0;-4;-1;-3;
-2;0;-1;-5;0;-3;-2;-2;
-2;-2;0;-1;-4;4;-2;-1;
-3;-2;-3;-1;-1;-1;-2;0;
1;1;1;0;0;-1;-1;-2;
-1;0;-1;-3;-1;1;-2;-2;
-1;-1;0;2;0;-3;-1;-1;
-4;-4;-4;0;1;1;0;-2;
-3;1;-2;0;-1;0;-1;-1;
-1;1;-4;-1;-4;-1;-2;-1;
-2;-1;-4;-4;-2;-1;-2;0;
0;0;-1;1;-1;0;-2;-2;
0;-2;1;1;1;-1;0;1;
-1;-1;0;1;-1;-1;1;-1;
-3;-2;-2;0;-3;-1;-1;-3;
-1;-1;-2;-1;1;-2;-2;-2;
-2;0;-1;-2;-2;1;-1;-2;
0;-4;-3;-3;0;-2;-2;-2;
-3;-4;-1;0;-4;-2;-1;-3;
-1;-3;-7;-3;-4;-2;-1;1;
2;1;4;4;3;1;0;0;
1;2;4;1;1;-2;-2;-2;
-1;-1;-3;-1;-2;-2;-3;0;
0;-1;2;1;-4;-2;-1;0;
-2;-5;-3;-4;-1;-2;-2;-2;
0;2;2;2;0;1;1;1;
2;-1;-3;-1;-2;-2;-1;-1;
-2;-1;1;0;2;0;-2;0;
0;2;-1;-2;3;0;-1;2;
1;0;0;-2;-4;1;1;0;
-2;-1;-1;-1;-6;-1;1;1;
-1;1;-4;-3;3;2;-1;-1;
-3;-7;-2;1;-2;-3;-3;-2;
-2;0;3;0;-1;-2;0;1;
-1;-2;-2;-2;-1;-2;0;-3;
1;-2;0;-1;-1;-2;0;-2;
-1;-1;-4;-4;-2;-2;-2;1;
0;0;3;-2;2;0;-1;0;
-1;-3;-1;-4;-4;1;0;-2;
0;2;1;1;8;1;0;1;
2;0;1;1;2;1;-1;1;
-1;0;-2;-1;-3;-4;0;-1;
-2;2;-1;-1;2;-1;-1;1;
0;-3;-3;-2;-6;-3;0;-2;
-1;-1;-2;-4;-5;-1;0;-1;
-2;-4;-3;-1;-1;-1;-1;-3;
1;1;3;-2;0;-2;-2;0;
-3;1;0;-2;-1;-4;-2;-2;
1;1;0;-2;-5;-3;-2;0;
-2;-1;1;1;-1;0;0;-1;
-1;0;-1;-1;-2;0;-1;0;
0;-1;-4;-3;-4;-1;-1;-2;
-2;-2;-1;-2;-1;-1;-1;-1;
3;3;1;2;-1;2;1;1;
-1;-3;0;2;2;-1;-1;-2;
-1;1;-1;0;-2;-2;-1;0;
-1;1;1;0;-1;0;0;-1;
0;-1;-2;-2;11;4;0;-1;
0;-1;0;-1;-1;2;-1;-3;
-2;-2;-2;-2;-1;-2;-1;-3;
-2;0;-3;-3;-5;-4;-1;-1;
-3;-3;0;0;-2;0;-1;-1;
-2;-2;-2;-3;-2;-3;-1;1;
-1;-3;-2;2;9;5;0;0;
0;-2;-2;0;-2;-1;0;-3;
1;-3;-2;-1;-3;-1;-2;0;
0;1;-1;-2;-4;-4;-2;-2;
-3;-6;-3;-2;-2;0;-3;-4;
-2;-2;-3;-2;-2;-2;0;0;
-1;-1;-3;-2;0;-2;1;-1;
-1;2;1;2;-1;2;1;-2;
0;1;-3;-3;-1;-4;-1;0;
0;-3;0;0;-2;-1;-1;-1;
0;1;0;0;0;-1;1;-2;
-1;-2;-5;-4;0;-1;-1;-1;
0;-3;-2;-1;-2;-2;-2;-1;
-2;1;-1;-1;1;-5;-2;0;
-3;0;-2;-3;-2;1;-1;0;
0;2;3;-1;-5;-2;-1;0;
0;3;1;1;10;3;0;1;
-1;-2;-1;-2;-1;1;-2;-2;
-2;-3;-3;-4;-2;1;1;0;
1;-4;-1;1;2;-2;-1;-2;
1;0;-2;-2;-4;-3;-1;-1;
-2;1;3;-1;-5;-3;-2;-2;
-1;-4;-4;0;-1;-2;-1;-2;
-3;-1;-3;-2;-4;-2;-1;-2;
0;-2;-2;-1;-1;-3;-2;-1;
1;-1;0;-1;-1;0;0;0;
-1;-1;0;-2;-7;1;-1;-2;
0;0;2;0;4;-1;1;1;
-1;0;-3;-4;-2;-3;0;-1;
-2;-1;2;0;-2;-1;0;-2;
0;-1;0;2;1;-1;-1;1;
1;1;0;-2;-9;0;-1;-1;
-3;-3;-1;0;9;3;1;-2;
0;2;0;-2;-1;-2;-1;0;
-1;-4;-6;-3;-3;2;-1;-2;
0;-2;-1;-3;-6;-5;-2;-2;
0;-2;-1;1;3;2;-2;0;
-1;-1;0;2;-3;-2;-2;-1;
-1;0;0;-2;-3;-2;-1;-2;
0;0;-1;-2;2;-2;-2;-1;
0;-2;-5;-3;-5;-3;-1;-1;
1;1;-3;-2;1;0;0;-1;
-1;-2;2;2;0;-2;0;1;
1;-1;-3;0;2;1;-3;0;
-3;0;0;0;-1;0;0;0;
-2;-2;-3;-3;-3;-3;-1;-2;
1;1;-2;-1;-1;0;0;0;
-2;-2;-1;0;1;1;-1;-1;
-2;-3;-3;-2;-3;-1;-1;-2;
-2;-1;0;-3;-1;-1;-1;0;
-1;-1;-3;-2;2;1;-2;0;
-3;-3;-4;-3;1;-2;1;-2;
1;-2;-1;0;-5;-1;-2;1;
-3;-4;-3;-1;-4;0;-3;-2;
-3;-4;-2;2;4;0;0;-2;
1;1;3;0;-3;-4;0;-1;
1;2;5;1;-4;-2;2;-1;
-1;-3;-5;-3;2;-2;-3;-1;
-4;-1;0;2;-1;-1;-1;-1;
-2;1;-3;-3;-3;-1;-2;-1;
-1;2;1;0;0;0;-1;1;
1;-1;-1;-2;-3;0;1;0;
0;0;-3;-2;0;0;1;-1;
-1;-2;0;2;-2;-2;-3;-2;
0;-5;-4;-1;1;-3;-2;-1;
-2;2;1;0;-8;1;-2;1;
-1;-2;-4;0;2;-1;-2;0;
-2;0;-2;-3;-7;-4;0;0;
0;3;1;0;0;-2;-1;-1;
-1;-1;0;1;-3;-4;-2;-1;
0;-1;0;-1;-3;0;-2;1;
1;1;4;-1;-1;-1;-1;-1;
-1;-1;-5;1;0;0;0;-1;
-2;-3;-3;-3;-3;-1;-2;-1;
-1;-1;-5;-2;-1;1;0;-2;
0;0;-1;-1;-3;-3;-1;-1;
-1;0;-1;-3;-1;-2;-2;-1;
-1;-1;-3;1;-1;-1;-2;-2;
-2;-3;-1;-1;1;-2;-2;-2;
0;-2;0;-1;-2;-3;-3;-2;
-3;-2;-2;-2;-2;0;-1;-3;
-2;-1;-1;-3;1;-1;-2;-1;
-2;0;2;0;-2;-2;0;0;
1;0;-3;-1;1;2;1;1;
-1;0;0;-3;-3;-2;-1;-2;
-1;-1;1;-1;2;3;1;0;
0;2;0;-1;-3;-2;0;-1;
-1;-3;-2;-2;-5;-2;-2;0;
1;-1;-1;0;2;0;-1;1;
-1;-1;4;2;-1;-1;1;-2;
-1;-1;0;-1;-2;0;-2;0;
-1;-3;-1;2;-1;0;-1;-3;
-2;-2;-4;-2;-2;-3;-2;-2;
1;2;0;0;0;2;2;1;
-1;-2;-2;-2;-3;-3;-1;-1;
-3;2;3;3;1;2;0;0;
-2;-3;-2;-4;-2;-2;-1;-1;
-2;1;-1;-2;0;-2;-2;-3;
-1;-2;-2;-1;0;-2;-1;0;
0;-1;1;-1;1;-3;0;-1;
3;2;5;4;-1;0;-1;0;
-3;-2;-6;-2;-2;0;-2;-2;
-3;-2;-2;-2;-4;-2;-3;-1;
0;-2;-2;-1;5;2;-1;-1;
0;2;1;1;0;-1;-1;-1;
-1;-2;0;-1;-1;-2;-2;0;
-1;-2;-3;1;-3;-4;-1;-1;
-1;-2;-2;-2;0;0;0;-1;
-2;-2;-4;-3;-3;-4;-2;-1;
-2;0;-2;0;-6;3;-1;0;
-2;-7;-1;0;2;1;0;-1;
1;1;1;-1;-8;-4;-2;-1;
-1;0;-1;-2;1;1;0;0;
-3;-3;0;-3;-3;-5;-1;-1;
0;2;2;-1;0;0;-1;-1;
-2;0;-3;-1;-1;0;-1;1;
-1;1;-1;2;-3;-1;1;-2;
-1;0;-1;1;2;0;-2;-3;
-3;0;-1;-3;-1;0;-1;-2;
-1;-3;-6;-4;0;-2;0;0;
-1;-1;5;0;-2;0;-3;-2;
-1;-3;0;0;0;-3;-2;-1;
-1;2;1;-1;2;4;0;1;
-2;-1;3;2;-6;-1;-1;-1;
-1;-2;-4;-1;-1;0;-2;-1;
0;2;-2;-2;2;1;1;-1;
-3;-6;-1;-1;-5;-1;-2;-2;
-1;0;1;-1;0;-3;-1;-3;
-1;-3;-7;-3;-3;2;0;0;
-1;0;5;0;-2;-4;2;0;
-3;1;-3;-2;-3;-1;-3;-1;
-1;1;-3;-1;-3;0;-2;-2;
-1;-2;-3;-2;-1;-3;-1;-1;
0;0;-2;0;2;-1;0;1;
0;-3;-1;-1;-2;-1;-1;-1;
-1;-1;-6;-4;-2;-2;0;-2;
-2;-3;-1;1;1;4;-1;-1;
1;-1;-2;1;1;-4;0;0;
-1;-3;-3;-2;2;1;-2;-2;
0;1;-2;-1;0;-4;-2;-1;
0;-3;1;0;4;4;0;1;
0;0;-1;-1;-2;-3;-2;0;
-1;-1;-1;-2;0;-1;1;-2;
-1;-3;-5;-3;1;-1;-1;-1;
-1;2;-1;0;-3;-4;-5;-3;
-2;1;-1;-2;-1;-4;-2;-2;
-2;-1;2;-1;0;0;-2;0;
-1;-2;-2;-1;-1;-1;-1;-4;
0;1;0;-2;-4;-5;-3;-1;
1;-2;-3;1;1;4;2;0;
0;-2;-1;-1;-5;-3;-2;0;
-3;-3;-1;-2;-4;-2;0;0;
0;0;0;-2;3;1;-1;-1;
-2;-2;1;0;-2;-2;0;-1;
-2;1;0;-1;-1;-1;1;1;
1;1;0;1;2;0;-1;-1;
-1;-3;-3;-3;-5;-2;0;-1;
-2;-3;-2;-2;-1;3;-1;-3;
-2;-3;-6;-2;-1;-1;0;0;
-2;-6;3;2;-2;0;1;0;
-2;0;1;-2;-3;1;0;-1;
-1;-2;0;-2;0;-1;-1;-1;
-1;-2;0;-2;-1;-1;-1;-1;
-2;2;-2;-1;-1;-2;1;0;
0;-3;0;-3;-2;0;-2;-1;
0;-1;-1;0;-2;-2;-1;-2;
-2;1;3;0;-2;0;-3;-1;
0;-2;-3;0;2;-1;-2;0;
-1;3;4;1;-2;-2;-1;1;
-1;0;-3;2;0;-1;0;0;
-1;-1;-1;-1;0;-1;-1;-1;
-2;-5;0;-2;-2;-1;-2;-3;
1;0;0;-1;-1;-1;-1;-2;
1;-2;-2;0;0;-1;-1;0;
0;2;2;1;-1;-1;0;0;
-3;-6;-9;-3;-4;-3;-2;-1;
-1;-3;2;1;1;2;0;-1;
-3;0;2;-3;-1;0;1;-1;
-1;1;2;0;5;1;1;-1;
-1;-1;-3;-1;-1;-1;-1;-3;
-1;-2;-5;-1;-2;-2;1;-2;
1;-1;3;4;-3;-1;0;0;
0;4;0;-2;0;-1;-1;0;
-1;2;1;1;1;-2;0;0;
-2;-2;-1;-2;-2;-1;-2;0;
-2;-5;-5;-3;-1;-2;-2;-1;
1;0;0;-1;1;0;0;-1;
0;0;-4;-3;0;-1;-2;-1;
0;-2;0;-3;3;0;1;-1;
-1;1;4;1;-1;0;-1;-4;
1;1;0;1;-3;-1;-1;0;
-3;-2;-4;-1;1;0;0;-1;
0;0;1;0;-3;-1;-1;-2;
-2;0;-3;-4;-2;0;0;0;
-2;2;0;-2;1;-1;0;-2;
1;-2;-3;-4;0;0;-1;-1;
-1;1;3;2;0;0;-2;0;
6;9;8;2;0;-3;0;0;
-3;-6;1;3;-1;1;1;-2;
3;1;-5;-1;-5;0;1;-1;
-2;-2;1;-2;-3;-2;-2;-3;
-4;-2;-3;-4;2;0;0;-2;
0;-1;1;-5;-1;-5;0;-1;
-2;-4;-3;-2;-8;-2;-1;-2;
0;-1;-2;0;3;1;0;0;
-1;-3;-5;-4;-8;-4;-2;-1;
-1;1;3;-1;0;1;-2;-1;
-1;-1;-1;-2;1;-3;0;0;
-1;0;0;0;0;0;0;-1;
-1;-4;-3;-1;0;0;-2;0;
-1;2;2;-2;-3;0;-1;1;
0;-2;-3;1;0;0;-3;1;
-1;1;-2;-2;-3;-1;-2;-1;
-2;0;-1;1;-1;0;-1;-2;
1;-1;-3;-3;1;2;0;-1;
-2;0;2;-1;0;0;0;-2;
-2;-3;-4;-2;-1;0;-1;0;
-1;-2;1;0;-3;-1;-1;-1;
-2;-2;-7;-1;-3;-2;0;1;
-2;-2;-1;2;10;0;-1;0;
0;-2;-2;-2;-4;-3;0;-2;
-1;-1;-2;-4;-1;0;-1;-1;
1;2;0;-1;2;-3;-1;0;
-2;-1;6;5;-2;0;0;-1;
1;2;0;2;1;-2;0;-1;
-2;-1;-3;-2;0;-1;-1;0;
1;-3;-2;-3;-1;0;-1;-2;
-1;-3;-5;-4;-8;-4;-2;-1;
-1;1;3;-1;0;1;-2;-1;
-1;-1;-1;-2;1;-3;0;0;
-1;0;0;0;0;0;0;-1;
-1;-4;-3;-1;0;0;-2;0;
-1;2;2;-2;-3;0;-1;1;
0;-2;-3;1;0;0;-3;1;
-1;1;-2;-2;-3;-1;-2;-1;
-2;0;-1;1;-1;0;-1;-2;
1;-1;-3;-3;1;2;0;-1;
-2;0;2;-1;0;0;0;-2;
-2;-3;-4;-2;-1;0;-1;0;
-1;-2;1;0;-3;-1;-1;-1;
-2;-2;-7;-1;-3;-2;0;1;
-2;-2;-1;2;10;0;-1;0;
0;-2;-2;-2;-4;-3;0;-2;
-1;-1;-2;-4;-1;0;-1;-1;
1;2;0;-1;2;-3;-1;0;
-2;-1;6;5;-2;0;0;-1;
1;2;0;2;1;-2;0;-1;
-2;-1;-3;-2;0;-1;-1;0;
1;-3;-2;-3;-1;0;-1;-2;
-1;0;-1;-3;-1;0;0;-1;
-2;-3;-2;-1;-1;-1;1;-2;
-1;-3;0;3;-1;-3;-3;0;
0;-2;-1;-3;-6;2;-2;-1;
-1;-1;1;0;-2;-2;-3;-1;
-3;-1;-2;-1;-1;-3;-1;-1;
-2;0;-2;-2;-5;0;-2;-2;
-1;-2;0;-2;-2;-6;-1;-2;
-1;-4;-5;0;-5;1;-1;-1;
-1;0;-1;-2;1;0;-3;-1;
-3;0;2;-2;-1;-1;-1;1;
-1;-1;-2;-1;1;-1;-2;0;
-2;-4;-5;-2;-3;0;-2;-2;
-1;-3;-2;0;0;0;0;0;
0;-4;-5;-2;-1;0;1;-2;
-5;-8;-2;-1;-3;-2;-2;-3;
0;4;1;0;1;-1;1;-1;
-1;-1;-3;-2;-3;-2;-1;-2;
0;1;-1;2;6;1;-1;2;
-1;-2;-3;-1;-1;-1;-1;-1;
-1;-1;-1;-4;0;-2;0;-2;
-1;-6;-3;-1;-2;1;0;-1;
-1;0;-1;-1;-2;-1;0;-2;
1;0;1;-1;2;0;0;0;
-1;1;-1;-2;-2;-1;-4;0;
-1;-3;-5;0;-1;-2;-1;0;
-3;0;4;1;2;1;1;0;
0;-1;-4;-1;-5;-2;-2;-2;
-1;-4;-3;0;7;-2;-1;-1;
2;-1;-1;-1;-1;-1;-2;-1;
-1;0;0;0;0;-1;-3;0;
0;-1;-1;-4;-9;0;0;-2;
-3;-1;3;2;7;0;-2;-1;
0;3;-2;-1;-2;0;0;1;
-1;-1;-2;1;1;1;-1;-2;
-3;1;-2;-3;-1;-3;1;-1;
0;0;0;-3;-4;-2;-1;-3;
-4;-5;-3;-4;0;-2;-1;-3;
-1;2;2;-3;-5;-3;-1;-3;
0;2;5;4;10;3;0;2;
-2;-3;-3;-1;-6;-1;1;-1;
1;1;1;1;0;0;-1;0;
-3;-4;-4;-4;-4;-1;-2;-3;
0;2;1;0;1;-2;-2;-1;
1;-2;-1;-1;-5;1;-1;-1;
-3;-4;-2;-2;-2;-3;0;-3;
3;1;1;-1;-6;-2;-1;0;
0;0;1;0;-2;-1;-2;0;
-2;-2;0;-2;-1;-3;-3;-3;
0;-4;-4;1;0;1;-1;-1;
0;1;3;-2;-2;-2;-1;-1;
-2;-5;-5;-3;-9;-4;-1;-1;
1;5;2;3;8;3;1;-1;
-1;1;-2;-1;1;0;0;-1;
-1;-2;-7;-3;-3;-2;-2;-2;
-1;-2;0;-1;4;-2;0;-1;
-1;0;4;1;-4;-1;-1;0;
0;-1;-2;-2;0;-1;-1;-1;
-1;0;-1;-1;-3;0;-1;-1;
-1;0;-1;-3;-3;-2;1;0;
-1;-4;-3;-2;-1;0;-1;-1;
-3;-2;-5;0;-4;-2;-1;-1;
0;0;0;-1;3;0;-2;0;
0;-2;3;0;0;1;0;-2;
0;-2;-4;-1;-1;-1;-1;-2;
2;2;1;-4;-7;-3;-2;-3;
-1;0;-3;0;5;4;0;1;
-2;0;2;1;0;-1;-2;0;
-1;0;1;-1;-4;-5;-1;-1;
-2;-3;-8;-4;-5;0;-3;-3;
-1;-4;-3;-1;-1;-2;-2;-2;
-1;0;-1;-4;-6;-4;-2;-2;
-1;-1;1;2;10;5;1;-1;
-2;-2;-2;-1;-2;-1;0;0;
-1;3;2;-1;-3;-1;1;0;
-2;-3;-4;-2;0;-2;-2;-1;
-1;0;-2;-1;-5;-4;-1;-1;
-2;0;-2;-2;2;1;-1;0;
0;1;1;0;-1;-2;-1;-2;
-3;-1;2;-1;-2;0;-2;-1;
-1;-1;-1;-1;-3;-2;0;-3;
-1;-3;-4;-3;0;-1;0;0;
-2;-2;0;-1;-4;-2;-3;-1;
0;3;2;0;-1;0;0;-1;
-3;-7;-7;-3;-4;-2;0;0;
0;-1;0;-1;2;1;0;0;
-2;-3;-3;-1;-3;-1;-1;-1;
1;-2;-3;-1;0;0;-2;1;
2;3;2;0;-2;-2;-1;1;
-1;-3;-6;1;-3;-1;0;-2;
-1;4;3;0;-1;-2;-1;-1;
-2;-5;-5;-1;-2;-3;-1;-2;
-1;0;-3;-3;-6;0;0;-1;
0;-1;2;0;0;-1;-1;-1;
-1;1;1;-3;-4;0;-1;0;
0;0;-1;-1;-1;-1;1;0;
-3;-3;-1;-2;-6;-3;-1;-2;
-2;-2;-3;-4;1;1;-2;0;
1;2;-1;-3;-2;-1;-2;0;
0;1;2;2;-1;0;-1;0;
-2;-1;0;-2;-1;-1;0;-1;
-2;-5;0;0;0;-1;0;-2;
0;-1;-2;0;0;-1;-1;-2;
0;0;0;1;2;-1;-3;-1;
-1;0;0;-2;0;0;-1;-1;
-2;-2;-3;-1;-4;-3;-1;-1;
-1;-1;-4;-3;-3;1;0;0;
-1;2;4;1;-3;1;0;-2;
-1;1;1;0;5;0;1;0;
1;-1;-2;-3;-4;-3;0;-2;
-1;-1;-2;0;9;4;0;-1;
-2;-3;-3;-2;-1;-4;-3;-2;
2;-1;-2;-3;-4;0;-2;-2;
-2;1;1;2;1;-1;2;-1;
-2;-1;-3;0;-4;0;-1;-3;
-1;-1;-4;-3;2;-3;0;1;
-2;-6;-1;2;0;-1;-2;0;
-1;-2;-7;-2;-2;-1;-4;0;
-1;-1;0;1;-2;-2;1;-2;
-2;0;-3;-3;3;-1;0;-1;
-1;0;1;0;-4;-1;-2;0;
1;0;0;1;0;-1;-1;0;
0;-2;-3;-4;-2;-1;-2;-1;
-1;0;5;0;0;-1;0;1;
-1;-2;1;0;-1;-1;0;-2;
-3;-4;-1;-2;0;0;-3;0;
0;-1;-1;-2;-4;-1;-2;0;
0;-3;-3;-2;-2;-1;0;-3;
0;0;-1;-1;0;-2;-1;-1;
-2;0;3;1;-2;-3;-2;1;
-1;-1;-2;2;5;3;-1;1;
1;0;1;1;-2;1;1;0;
-2;2;1;-1;-2;-1;0;-2;
-2;-5;-3;-3;-1;-2;0;-2;
-2;-1;-2;-3;-5;-4;-1;-2;
1;1;-3;-2;-1;-5;-3;0;
-4;-5;-5;-3;-4;-2;-1;-3;
-1;1;1;4;10;3;0;1;
1;1;1;-3;-4;-4;-1;0;
-3;-2;-1;-2;1;-1;-1;-1;
-1;-2;-4;-2;-1;0;0;-2;
0;-1;0;-2;-4;-3;0;-2;
-3;-4;-1;-2;0;-1;-1;-2;
-2;-1;-6;-4;-2;-2;0;-2;
1;3;6;2;0;0;-2;1;
-4;-3;-9;-4;-4;0;-1;-2;
-1;-2;0;2;1;1;-1;0;
1;0;3;1;-4;-2;-3;-1;
1;-3;-4;-1;2;0;0;1;
-1;2;-1;-1;-3;-2;-1;-1;
-2;-1;-4;-2;-6;-6;-1;-2;
1;-2;1;4;-2;1;-1;-2;
-1;-1;0;-2;-2;-1;-1;-1;
-1;-1;-4;2;2;1;-1;1;
-3;0;0;-1;-2;-3;-1;-1;
1;0;1;-2;2;-1;0;0;
-1;-2;1;-2;-2;-3;0;-2;
0;0;0;-2;-2;-2;-2;-3;
-1;-4;-2;-2;-2;1;-1;-1;
1;1;-1;-2;0;0;-1;1;
-2;-2;-1;1;-2;-4;-2;-1;
0;-2;0;-3;-1;1;-2;0;
-1;0;0;0;0;-3;-1;-2;
-5;-3;-6;-3;-1;-1;0;-4;
1;6;3;0;-2;0;-1;0;
0;1;2;1;-1;-1;1;0;
0;-2;-2;0;-5;-1;-1;-2;
0;-1;0;0;6;3;0;-1;
0;-2;-3;-1;-3;-3;0;-1;
-2;-2;-1;-2;-2;-1;-1;0;
-1;-3;-1;0;-2;-1;-1;-2;
-1;2;0;-2;-2;-3;0;-1;
-3;0;-1;-1;-1;-1;-2;0;
-1;-3;-5;-5;-2;-1;-1;-2;
-1;-5;0;0;2;1;1;1;
0;1;1;-2;-3;-3;0;-2;
0;1;3;0;-5;-2;1;0;
-4;1;-1;2;8;2;-1;-1;
-1;-1;1;1;-2;-2;0;-1;
-1;-6;-3;-3;-2;-3;-2;-1;
0;4;4;0;0;0;1;-2;
-2;-3;0;0;-1;1;-3;0;
1;-1;0;1;1;0;0;-1;
-3;-2;-1;1;-1;0;-2;-2;
-1;-3;-3;-4;-1;-1;-2;-2;
1;-1;2;-2;-4;-1;-2;0;
-1;-5;-5;-5;1;-3;-1;-2;
-1;-2;-2;-2;-5;0;0;-1;
1;2;4;1;6;0;0;2;
-2;1;-1;1;-4;-3;0;-2;
0;1;5;0;3;3;0;-1;
-1;0;-2;-1;-3;-3;-1;-1;
-1;-1;-2;-4;-4;-1;0;-1;
-1;0;-6;-4;-2;-2;-1;-2;
1;0;3;0;1;0;-1;0;
-1;1;-2;-2;-3;-1;0;-1;
-2;1;0;-1;-1;-2;0;-1;
-2;-2;-4;-1;1;-1;0;1;
-2;-4;-4;-2;-4;-3;-2;-2;
-1;-1;1;-1;0;1;-3;0;
-2;-3;-6;-1;-4;-1;1;-1;
-1;0;5;1;1;-1;0;-1;
0;-2;-6;-3;0;2;-2;0;
2;3;6;1;-4;-3;-1;-2;
-1;0;0;2;10;3;0;-1;
0;-2;-1;0;2;0;1;1;
-3;-1;-1;-1;-2;-2;-2;-1;
